id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;406613.58;7434136.076;-23.199195654353638;-45.91256906397814
2;406578.413;7434176.889;-23.19882503514716;-45.912910177834526
3;406551.955;7434199.114;-23.19862279721836;-45.91316733494459
4;406519.146;7434234.039;-23.19830549136472;-45.91348576718184
5;406485.28;7434267.906;-23.197997680844733;-45.91381459073155
6;406466.23;7434299.656;-23.197709831573345;-45.913998777177376
7;406408.021;7434389.615;-23.19689401107039;-45.91456200425156
8;406388.971;7434415.015;-23.196663514599358;-45.91474657784519
9;406385.796;7434426.656;-23.196558191970436;-45.91477688483743
10;406385.796;7434447.823;-23.19636701023645;-45.91477558410212
11;406382.621;7434482.748;-23.196051384977405;-45.91480446016179
12;406337.113;7434794.957;-23.19322890675447;-45.91522991491753
13;406292.663;7435085.999;-23.19059766892565;-45.9156463185319
14;406249.271;7435374.925;-23.187985601674104;-45.91605250103461
15;406214.346;7435487.109;-23.186970361353854;-45.9163868217249
16;406202.704;7435543.2;-23.186463081102485;-45.916497113625425
17;406196.354;7435609.875;-23.18586050638128;-45.916555050399104
18;406182.596;7435661.734;-23.185391329331445;-45.91668627467513
19;406162.487;7435700.892;-23.185036507123343;-45.91688032896346
20;406121.212;7435737.934;-23.184699591645312;-45.91728130315836
21;406075.704;7435779.209;-23.184324201328263;-45.917723370590146
22;405995.867;7435846.826;-23.183708930378778;-45.91849920160388
23;406025.582;7435878.693;-23.183422799031597;-45.918206925583256
24;406080.087;7435956.016;-23.182727517217987;-45.91766965643397
25;406149.456;7435985.755;-23.182462861615097;-45.916990104493955
26;406305.539;7435942.138;-23.182865689148485;-45.91546788787797
27;406359.548;7435911.407;-23.183146321740292;-45.91494211747371
28;406406.62;7435862.337;-23.18359219826686;-45.914485244229205
29;406466.575;7435654.161;-23.185475862665616;-45.913912264732694
30;406552.296;7435552.055;-23.186402952816398;-45.91308102941405
31;406631.575;7435548.09;-23.186443256382844;-45.91230671016419
32;406702.431;7435553.542;-23.186398024408152;-45.911614107355234
33;406747.521;7435591.708;-23.18605585661859;-45.91117123938045
34;406786.665;7435653.665;-23.185498468954595;-45.91078501142521
35;406783.935;7435725.747;-23.184847263607544;-45.910807275662876
36;406759.71;7435814.415;-23.184045036688627;-45.911038529852426
37;406706.119;7435890.361;-23.183356054560956;-45.9115574614947
38;406609.357;7435923.121;-23.18305468625594;-45.91250080580211
39;406466.447;7436006.513;-23.182293383141143;-45.91389189665612
40;406338.423;7436101.817;-23.181425323487744;-45.91513680766916
41;406258.036;7436186.699;-23.18065409508302;-45.9159169466097
42;406256.546;7436274.558;-23.1798604607576;-45.91592610177806
43;406338.423;7436445.808;-23.178318367945725;-45.915115677854864
44;406442.455;7436633.065;-23.176632950118048;-45.91408785050693
