id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;418156.076;7445051.959;-23.101212874224927;-45.799200299099645
2;418124.772;7445017.694;-23.10152082319051;-45.79950778941554
3;418123.896;7445016.673;-23.101530001995627;-45.799516397457616
4;418111.99;7444999.686;-23.101682847301863;-45.7996335585755
5;418110.761;7444996.656;-23.10171015482446;-45.799645720836594
6;418110.703;7444994.854;-23.101726428425085;-45.79964638351985
7;418111.369;7444992.069;-23.101751616733775;-45.79964002946069
8;418112.611;7444990.297;-23.101767683664793;-45.79962799703194
9;418114.656;7444988.444;-23.101784521942065;-45.799608128248515
10;418123.327;7444985.547;-23.10181111781194;-45.799523617428406
11;418166.219;7444978.152;-23.10188003355165;-45.79910520478855
12;418255.027;7444966.635;-23.101988447853007;-45.798238676296066
13;418338.664;7444949.495;-23.10214739184021;-45.797422937124495
14;418419.305;7444923.68;-23.102384540550684;-45.796636911836124
15;418481.462;7444896.83;-23.10263012389534;-45.79603142222155
16;418506.303;7444878.506;-23.102796857658603;-45.795789842205544
17;418537.891;7444854.039;-23.103019409469116;-45.79548270842655
18;418571.084;7444820.905;-23.103320323944633;-45.795160362722655
19;418625.755;7444767.769;-23.103802960939092;-45.79462935913282
20;418662.786;7444703.313;-23.104386976927824;-45.79427119763561
21;418685.148;7444607.499;-23.105253511323642;-45.794057933626114
22;418694.407;7444537.087;-23.105889959392997;-45.79397126318924
23;418701.35;7444484.329;-23.106366834678756;-45.793906269385936
24;418722.229;7444447.304;-23.10670228674414;-45.79370436022867
25;418744.858;7444416.724;-23.106979610311857;-45.79348501991684
26;418773.739;7444392.493;-23.10719989337975;-45.79320429327634
27;418814.059;7444366.83;-23.10743367160996;-45.79281194369379
28;418859.02;7444352.281;-23.10756728971786;-45.792373685793976
29;418934.752;7444352.262;-23.10757117251432;-45.791634188499174
30;419003.96;7444382.901;-23.107297815431313;-45.7909567738012
31;419068.386;7444442.44;-23.10676318338486;-45.790324528542214
32;419093.223;7444581.682;-23.10550669947568;-45.79007464654151
33;419086.804;7444658.963;-23.104808347845953;-45.79013324110341
34;419061.046;7444758.798;-23.103905332436796;-45.790379477269155
35;419072.294;7444837.795;-23.103192344701046;-45.79026547213908
36;419141.528;7444918.356;-23.10246806330865;-45.78958519239458
37;419224.812;7444946.026;-23.102222200712625;-45.78877052190837
38;419293.609;7444930.336;-23.102367275606408;-45.78809959452377
39;419332.245;7444899.732;-23.102645588529022;-45.78772395286859
40;419364.482;7444856.172;-23.103040613616212;-45.78741147395952
41;419390.28;7444788.65;-23.10365176067495;-45.787163127547636
42;419387.388;7444732.96;-23.10415463820003;-45.78719429802823
43;419330.047;7444601.858;-23.105336019554773;-45.787761107824686
44;419276.77;7444485.057;-23.106388423335616;-45.78828749042035
45;419275.122;7444431.796;-23.106869421148406;-45.78830639076124
46;419296.035;7444406.077;-23.10710274702867;-45.78810353875823
47;419337.861;7444367.445;-23.107453728276447;-45.787697157934396
48;419454.576;7444266.747;-23.108368964080864;-45.786562771665366
49;419497.001;7444211.122;-23.108873459396225;-45.78615142753829
50;419509.192;7444152.184;-23.10940640800078;-45.78603548411414
51;419499.645;7444094.436;-23.109927550560293;-45.78613174577513
52;419436.612;7444022.425;-23.110574919968524;-45.786751044131435
