id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;406159.928;7444013.941;-23.10995192990544;-45.91639464489916
2;406160.795;7444013.791;-23.109953333892996;-45.91638618824808
3;406171.198;7443999.904;-23.110079353380552;-45.9162854590737
4;406185.456;7443931.976;-23.11069369835324;-45.91615039947249
5;406190.012;7443929.086;-23.11072005958025;-45.91610608914904
6;406303.349;7443902.614;-23.110965580135677;-45.91500102058801
7;406318.424;7443900.499;-23.110985536663744;-45.91485394859511
8;406331.578;7443894.907;-23.111036789152674;-45.91472584714372
9;406371.605;7443855.261;-23.1113971435791;-45.914337424126984
10;406379.945;7443842.049;-23.111516948403942;-45.91425679514725
11;406388.005;7443824.272;-23.111677969180295;-45.91417917932746
12;406395.63;7443813.721;-23.111773698894453;-45.91410536904843
13;406409.059;7443800.473;-23.111894116609886;-45.91397504941204
14;406412.295;7443764.596;-23.112218346600404;-45.913945644647995
15;406436.709;7443766.449;-23.11220299065558;-45.91370713599231
16;406434.232;7443805.238;-23.111852501943403;-45.91372895192735
17;406457.311;7443831.219;-23.111619142080272;-45.9135020051816
18;406431.455;7443848.97;-23.11145735025818;-45.91375339500539
19;406441.517;7443899.472;-23.11100177673432;-45.913652056268376
20;406500.263;7443921.663;-23.11080466424832;-45.913077068780076
21;406501.284;7443921.663;-23.11080472193677;-45.91306709912391
22;406509.925;7443909.875;-23.11091168134402;-45.9129834432043
23;406517.879;7443871.701;-23.11125692468824;-45.91290810693477
24;406510.315;7443828.893;-23.111643146389532;-45.912984581315236
25;406585.892;7443818.933;-23.11173737505053;-45.91224720535432
26;406659.622;7443706.511;-23.1127569503429;-45.9115341122459
27;406661.012;7443704.906;-23.112771525386407;-45.91152063713243
28;406661.012;7443704.906;-23.112771525386407;-45.91152063713243
29;406650.792;7443675.675;-23.113034968182852;-45.91162221571787
30;406624.361;7443606.456;-23.11365867445593;-45.911884531370845
31;406563.075;7443468.498;-23.114901274148966;-45.912491400415846
32;406572.528;7443467.723;-23.11490880791195;-45.912399140153184
33;406598.033;7443451.115;-23.11506025418252;-45.91215110007269
34;406611.477;7443437.67;-23.11518245057449;-45.91202064111719
35;406630.853;7443423.435;-23.11531211706171;-45.9118323045716
