id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;402913.86;7427502.591;-23.25889506498301;-45.94914236269716
2;402851.486;7427535.243;-23.258596468503512;-45.94974999480659
3;402783.852;7427565.161;-23.25832225176973;-45.95040921679818
4;402751.493;7427575.602;-23.25822603482049;-45.95072486391762
5;402701.561;7427584.529;-23.258142451053473;-45.95121238703327
6;402606.84;7427587.997;-23.258105516773725;-45.9521380804021
7;402558.165;7427594.552;-23.258043426864344;-45.95261346687165
8;402524.037;7427607.853;-23.25792126938907;-45.95294622024469
9;402498.882;7427622.466;-23.25778779383987;-45.95319117620656
10;402477.361;7427644.168;-23.257590506496804;-45.95340015341786
11;402435.331;7427716.807;-23.256931943652123;-45.95380633494039
12;402362.694;7427857.053;-23.255660942267554;-45.954507350029324
13;402344.24;7427901.437;-23.25525897411321;-45.95468488338968
14;402340.602;7427902.952;-23.255245074602197;-45.95472034729967
15;402330.789;7427933.033;-23.25497280299062;-45.95481433422543
16;402266.864;7428089.892;-23.253552268678753;-45.95542910231976
17;402251.844;7428141.359;-23.253086530886222;-45.95557260770199
18;402230.328;7428192.574;-23.25262268259618;-45.95577962531835
19;402224.306;7428218.843;-23.252385065505653;-45.95583679775791
20;402202.096;7428278.244;-23.25184724050403;-45.95605006997954
21;402193.095;7428312.046;-23.25154140878493;-45.956135875372205
22;402172.789;7428345.882;-23.251234597131692;-45.956332180901555
23;402124.256;7428380.352;-23.25092037846941;-45.956804353759026
24;402091.878;7428408.5;-23.250664220428934;-45.957119022831975
25;402037.012;7428440.02;-23.250376266172154;-45.95765328464584
26;401876.05;7428592.49;-23.2489895731933;-45.95921677481377
27;401648.251;7428800.407;-23.247098077260553;-45.96142993405221
28;401543.758;7428916.993;-23.246038831422176;-45.96244373001404
29;401447.263;7429029.566;-23.245016303808253;-45.96337959630944
30;401379.236;7429118.6;-23.24420808019207;-45.964038726545176
31;401315.325;7429245.147;-23.243061288022336;-45.96465518243148
32;401271.483;7429394.577;-23.241709022084184;-45.965073987532186
33;401249.376;7429572.631;-23.24009953171001;-45.96527848993909
34;401249.329;7429646.762;-23.239429986242534;-45.96527413238944
35;401255.045;7429658.902;-23.239320682362248;-45.96521747663901
36;401262.795;7429665.387;-23.23926257588532;-45.96514130852234
37;401277.821;7429673.045;-23.239194311739304;-45.96499395030655
38;401304.99;7429679.088;-23.239141362696746;-45.96472801425444
39;401369.372;7429689.51;-23.23905109468017;-45.9640980830442
40;401426.549;7429704.264;-23.238921266137034;-45.963538291551295
41;401455.942;7429713.561;-23.238839058076103;-45.96325040870859
42;401468.776;7429725.069;-23.238735888001774;-45.963124226314136
43;401482.666;7429742.704;-23.238577442670778;-45.962987325889834
44;401488.143;7429760.74;-23.238414871526327;-45.962932626119084
45;401487.613;7429783.237;-23.23821164929281;-45.96293634801468
46;401483.715;7429812.758;-23.237944785304155;-45.96297253242322
47;401474.246;7429849.451;-23.23761281085461;-45.963062700898085
48;401460.905;7429880.649;-23.237330234639167;-45.963191068725656
49;401450.95;7429895.521;-23.237195315890506;-45.96328740107052
50;401362.465;7430003.581;-23.23621402567577;-45.964145208366
51;401186.768;7430089.376;-23.23542858947301;-45.96585681542636
52;401043.573;7430133.219;-23.23502399638356;-45.96725347666758
53;400913.257;7430156.957;-23.234801752948133;-45.96852556753162
54;400769.179;7430144.955;-23.234901468563685;-45.96993448859005
55;400746.485;7430148.522;-23.234867882712308;-45.97015605424697
56;400716.524;7430159.02;-23.23477125802731;-45.97044819068933
57;400679.809;7430175.962;-23.234616023628895;-45.97080591539551
58;400659.813;7430192.397;-23.23446637733072;-45.97100027074481
59;400643.705;7430209.425;-23.234311609735457;-45.97115658792636
60;400626.507;7430230.228;-23.234122680821;-45.9713233109763
61;400615.937;7430249.988;-23.23394357242494;-45.97142532384832
62;400613.252;7430262.03;-23.23383464837281;-45.97145077809591
63;400613.259;7430282.939;-23.23364580131925;-45.97144934275501
64;400618.239;7430313.569;-23.23336945583153;-45.97139866916357
65;400628.756;7430330.024;-23.233221471621682;-45.971294807506254
