id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;418900.259;7428724.507;-23.24872523374979;-45.79280213336206
2;418882.13;7428695.986;-23.248981949273062;-45.7929808660115
3;418853.02;7428652.703;-23.24937145721134;-45.793267726798845
4;418829.304;7428620.427;-23.24966181250621;-45.793501274728214
5;418815.474;7428603.867;-23.249810704240037;-45.79363734792402
6;418733.404;7428505.427;-23.25069578722145;-45.79444484894547
7;418643.684;7428404.437;-23.25160351933865;-45.79532727696173
8;418585.424;7428342.667;-23.252158558649175;-45.79590008698369
9;418540.584;7428297.807;-23.252561525026717;-45.79634081149375
10;418483.444;7428235.207;-23.253124112688567;-45.796902726109785
11;418239.957;7427969.379;-23.25551304881367;-45.79929717981699
12;417924.538;7427647.592;-23.25840379015504;-45.802397920355055
13;417826.466;7427547.113;-23.25930644061714;-45.80336207190041
14;417667.118;7427382.964;-23.26078109865704;-45.804928707352815
15;417638.038;7427355.655;-23.261026302837806;-45.80521446848036
16;417591.747;7427316.77;-23.26137520055119;-45.80566911047673
17;417546.274;7427279.487;-23.261709668259357;-45.806115671169245
18;417500.124;7427243.967;-23.262028176769583;-45.80656875650592
19;417469.054;7427220.437;-23.262239144933304;-45.8068737717747
20;417410.737;7427179.335;-23.262607457475532;-45.80744610769985
21;417305.988;7427113.141;-23.26320006812995;-45.808473729436066
22;417255.543;7427085.535;-23.263446871981618;-45.80896838158662
23;417168.598;7427041.901;-23.263836602822668;-45.80982073319656
24;417133.88;7427025.575;-23.263982312094697;-45.810161027068986
25;417082.544;7427004.796;-23.26416740238423;-45.81066402251252
26;416999.755;7426971.254;-23.264466180418403;-45.811475202286715
27;416969.191;7426960.271;-23.264563836759518;-45.811774597502286
28;416909.843;7426940.086;-23.264743151326194;-45.812355890328355
29;416111.075;7426653.494;-23.26729111121345;-45.820180512608154
30;416097.041;7426662.39;-23.267210043780704;-45.82031721999485
31;415962.591;7426753.87;-23.266376903329075;-45.82162656362347
32;415759.221;7426884.35;-23.265187963016672;-45.82360749270522
33;415646.11;7426970.094;-23.26440770074999;-45.82470850477685
34;415448.168;7427096.975;-23.263251509150766;-45.82663651363206
35;414948.731;7427434.517;-23.260176982507584;-45.8315000407406
36;414782.876;7427556.582;-23.259065873883493;-45.83311453015087
37;414512.277;7427757.958;-23.257232951259198;-45.835748450434856
38;414395.333;7427855.969;-23.25634160949162;-45.83688610254575
