id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;416111.075;7426653.494;-23.26729111121345;-45.820180512608154
2;415400.93;7426398.701;-23.26955602499033;-45.82713723632766
3;415322.408;7426361.388;-23.269888996138913;-45.827906977703464
4;415299.415;7426349.715;-23.26999324311519;-45.828132417620324
5;415276.502;7426337.176;-23.27010531575959;-45.82835712412922
6;415247.848;7426321.624;-23.270244305768305;-45.82863812563106
7;415218.154;7426303.181;-23.270409353615516;-45.82892945672911
8;415169.26;7426271.652;-23.270691604343458;-45.82940922758707
9;415125.215;7426242.549;-23.2709521920935;-45.829841458698446
10;415034.296;7426180.299;-23.271509743616612;-45.83073381007055
11;414996.312;7426153.217;-23.271752387277616;-45.83110667767923
12;414863.369;7426066.715;-23.27252680121392;-45.83241125006797
13;414797.099;7426021.038;-23.272935926437388;-45.83306170812113
14;414659.306;7425926.856;-23.27377943833897;-45.83441415181679
15;414639.161;7425914.351;-23.273891338418817;-45.834611806048215
16;414535.089;7425843.257;-23.274528057335857;-45.835633287494275
17;414479.893;7425805.591;-23.27486538873575;-45.836175045720516
18;414389.378;7425744.959;-23.27540830948261;-45.83706340772118
19;414348.162;7425719.494;-23.275636163718083;-45.83746780459602
20;414296.843;7425690.39;-23.2758963575148;-45.837971183347825
21;414212.794;7425646.331;-23.27628991555942;-45.83879540485277
22;414159.455;7425619.248;-23.27653174531846;-45.83931842335723
23;414096.417;7425588.932;-23.276802266728296;-45.83993645249718
24;414066.442;7425577.652;-23.276902580620103;-45.840230152768484
25;414045.445;7425566.269;-23.277004294369075;-45.840436082606665
26;414010.45;7425542.904;-23.277213497917018;-45.84077954878791
27;413987.253;7425529.324;-23.277334939283122;-45.84100711326063
28;413905.664;7425490.982;-23.277676973014067;-45.841806976371466
29;413849.672;7425464.622;-23.277912122903327;-45.84235590258965
30;413800.478;7425449.844;-23.278043017474825;-45.84283770868817
31;413770.882;7425442.655;-23.278106395177474;-45.84312747561983
32;413737.687;7425438.261;-23.27814433836721;-45.84345227103682
33;413704.892;7425437.862;-23.27814621849018;-45.84377292850293
34;413676.495;7425435.066;-23.27816997929069;-45.84405072342117
35;413644.1;7425433.069;-23.278186312595988;-45.84436756113719
36;413577.309;7425432.67;-23.278186401384758;-45.845020595521234
37;413500.52;7425434.267;-23.278167932495492;-45.8457712657899
38;413456.126;7425436.264;-23.278147555396544;-45.8462051891251
39;413452.726;7425436.464;-23.278145569712365;-45.84623841928686
40;413432.912;7425438.16;-23.278129206422673;-45.846432042635456
41;413394.928;7425439.776;-23.278112606942546;-45.84680331732094
42;413300.776;7425439.776;-23.278107636912285;-45.84772383471639
43;413256.731;7425440.181;-23.278101652027715;-45.848154436289775
44;413196.523;7425440.989;-23.27809117140214;-45.84874303914071
45;413136.718;7425441.797;-23.27808070989638;-45.8493277017242
46;413115.053;7425439.815;-23.278097465015573;-45.84953963227461
47;413089.844;7425440.181;-23.278092824773353;-45.84978607771777
48;413038.526;7425440.585;-23.278086457989712;-45.850287786548904
49;412981.146;7425440.989;-23.278079768264252;-45.85084876295093
50;412939.929;7425440.585;-23.278081231788715;-45.85125176132512
51;412906.794;7425438.16;-23.27810137702252;-45.85157585870757
52;412882.954;7425435.734;-23.278122023932777;-45.851809079769836
53;412825.574;7425426.437;-23.27820294940373;-45.85237061371576
54;412791.226;7425419.161;-23.278266842700855;-45.85270684985901
55;412757.283;7425409.056;-23.278356308666787;-45.85303928939573
