id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
1;401425.439;7466439.134;-22.907128793228857;-45.96118840850793
2;401430.563;7466428.324;-22.907226734359558;-45.96113913868075
3;401432.84;7466419.789;-22.907303959132854;-45.96111748171907
4;401438.533;7466410.116;-22.90739166410434;-45.9610625917383
5;401444.795;7466398.167;-22.90749996007428;-45.961002298915744
6;401454.473;7466386.788;-22.907603309066918;-45.96090866421549
7;401459.596;7466378.253;-22.907680701631225;-45.96085925897057
8;401465.289;7466369.718;-22.90775812779021;-45.96080429624752
9;401472.12;7466360.045;-22.90784589975731;-45.960738310535746
10;401482.367;7466349.234;-22.90794415181636;-45.96063909157492
11;401487.491;7466342.976;-22.908000977868983;-45.96058953141381
12;401491.675;7466334.652;-22.908076409179184;-45.96054926756806
13;401497.937;7466321.565;-22.90819498369968;-45.96048904645703
14;401508.754;7466303.926;-22.908354941591764;-45.96038470402586
15;401516.724;7466287.426;-22.908504443874495;-45.96030804691966
16;401522.416;7466276.046;-22.90860756662436;-45.96025327429218
17;401533.973;7466250.059;-22.9088429694221;-45.96014224731428
18;401541.262;7466245.586;-22.908883800282315;-45.96007146445869
19;401544.905;7466241.342;-22.90892234790807;-45.96003621531644
20;401548.54;7466219.923;-22.909116024405893;-45.96000213644967
21;401551.386;7466207.409;-22.909229221989282;-45.95997518389861
22;401558.784;7466196.033;-22.90933240900809;-45.959903777024465
23;401570.167;7466178.399;-22.909492354725067;-45.959793914260146
24;401582.687;7466161.335;-22.909647218941245;-45.959672929248505
25;401587.809;7466154.509;-22.909709174930654;-45.95962342369231
26;401602.036;7466145.408;-22.909792215524504;-45.95948528883765
27;401615.946;7466137.648;-22.909863125054596;-45.95935015933802
28;401622.625;7466137.648;-22.909863518291782;-45.95928503895436
29;401629.911;7466143.106;-22.909814649064504;-45.95921365346034
30;401636.59;7466164.936;-22.909617867613985;-45.9591471459417
31;401642.054;7466171.606;-22.909557943949824;-45.95909344811627
32;401652.118;7466174.418;-22.909533137540606;-45.958995145472024
33;401662.092;7466172.213;-22.90955364071638;-45.958898039072956
34;401671.807;7466168.574;-22.90958708088138;-45.958803548980775
35;401682.28;7466167.592;-22.909596566824796;-45.95870149958124
36;401694.232;7466172.142;-22.90955617314338;-45.958584678595216
37;401703.337;7466181.244;-22.909474496961135;-45.958495326868146
38;401750.133;7466176.457;-22.909520486623244;-45.958039369915674
39;401755.126;7466163.041;-22.90964195727734;-45.957991539636055
40;401759.11;7466143.702;-22.90981686679801;-45.957953922943055
41;401763.663;7466126.637;-22.90997127035404;-45.95791061407964
42;401772.199;7466115.83;-22.910069384032106;-45.95782807358753
43;401783.583;7466105.021;-22.910167683140312;-45.95771776497271
44;401799.516;7466098.765;-22.910225125548276;-45.95756281436082
45;401820.573;7466096.49;-22.910246911374394;-45.95735765182722
46;401835.785;7466096.509;-22.910247633507954;-45.95720933281163
47;401850.582;7466098.784;-22.910227954295788;-45.957064917014804
48;401873.915;7466108.454;-22.910141982513654;-45.956836806030594
49;401900.663;7466123.244;-22.9100099655905;-45.95657507445589
50;401913.575;7466133.273;-22.909920138801528;-45.956448546465396
51;401930.138;7466153.784;-22.909735849770648;-45.95628575721563
52;401948.025;7466178.264;-22.90951578910086;-45.95610980799683
53;401963.265;7466202.878;-22.909294362589144;-45.9559596590871
54;401970.094;7466214.254;-22.9091920119274;-45.95589235601026
55;401976.512;7466219.947;-22.909140967613187;-45.95582942013407
56;401987.167;7466243.832;-22.908925856413138;-45.955724021841974
57;401995.135;7466260.897;-22.908772187747296;-45.95564525376773
58;402008.793;7466279.099;-22.90860858299243;-45.955510936736225
59;402021.883;7466295.026;-22.908465493265663;-45.95538230197576
60;402038.055;7466320.37;-22.908237527021882;-45.955223022329406
61;402042.371;7466328.017;-22.908168710102437;-45.95518045782176
62;402051.476;7466343.944;-22.908025386507084;-45.95509067718529
63;402062.266;7466359.278;-22.907887517752638;-45.95498450569015
64;402070.234;7466372.361;-22.90776981523676;-45.95490599096849
65;402075.356;7466388.288;-22.907626258071836;-45.954855044637306
66;402074.581;7466412.329;-22.9074090673281;-45.954861080126804
