id_endereco,latitude_radar,longitude_radar,nome_endereco,osm_id_completo,osm_type,linestring
68,-23.16462,-45.89421,Av. Rui Barbosa interseção R. Pedro Rachid,W130794600,way,"LINESTRING(-45.8952335 -23.162785, -45.8951818 -23.162872, -45.894962 -23.163272, -45.8946496 -23.1638516, -45.8943213 -23.1644705, -45.8942804 -23.1645461, -45.8941881 -23.16474, -45.8940784 -23.1649592, -45.8938683 -23.1653274, -45.893617 -23.1659021, -45.8934605 -23.1662831, -45.8932348 -23.1668173, -45.8931264 -23.1670865, -45.8930949 -23.1671646, -45.8929786 -23.1674771, -45.8926625 -23.1682951, -45.8921784 -23.1694833, -45.8919395 -23.1700329, -45.8919206 -23.1700997, -45.8915955 -23.1709589, -45.8914079 -23.1714335, -45.8912414 -23.1718632, -45.890751 -23.1730763, -45.8906339 -23.1733476)"
52,-23.172077,-45.891097,Av. Rui Barbosa 778,W130794600,way,"LINESTRING(-45.8952335 -23.162785, -45.8951818 -23.162872, -45.894962 -23.163272, -45.8946496 -23.1638516, -45.8943213 -23.1644705, -45.8942804 -23.1645461, -45.8941881 -23.16474, -45.8940784 -23.1649592, -45.8938683 -23.1653274, -45.893617 -23.1659021, -45.8934605 -23.1662831, -45.8932348 -23.1668173, -45.8931264 -23.1670865, -45.8930949 -23.1671646, -45.8929786 -23.1674771, -45.8926625 -23.1682951, -45.8921784 -23.1694833, -45.8919395 -23.1700329, -45.8919206 -23.1700997, -45.8915955 -23.1709589, -45.8914079 -23.1714335, -45.8912414 -23.1718632, -45.890751 -23.1730763, -45.8906339 -23.1733476)"
11,-23.231823,-45.919159,Av. Dr. João B. S. Queiroz Jr. inters. R. das Ambrósias,W908171005,way,"LINESTRING(-45.9165086 -23.2342713, -45.9181923 -23.2327095, -45.9185729 -23.2323537, -45.9187848 -23.232157, -45.9190034 -23.2319373, -45.9194005 -23.231563, -45.9198069 -23.231206, -45.9201225 -23.2309114, -45.9202115 -23.2308355, -45.920369 -23.2307017, -45.9206648 -23.2304537)"
41,-23.228473,-45.910032,Av. Dep. Benedito Matarazzo - NISSAN,W772030590,way,"LINESTRING(-45.9081913 -23.2269341, -45.9090421 -23.227727, -45.9094307 -23.2280903, -45.90997 -23.2285947, -45.9099898 -23.2286138, -45.9104477 -23.229056, -45.9124506 -23.2309144)"
42,-23.189607,-45.881589,Av. Sen. Teotônio Vilela Vd. Raquel Marcondes,W772034133,way,"LINESTRING(-45.8817243 -23.1898139, -45.8811244 -23.1889629)"
46,-23.268947,-45.907405,Av. Leonor de A. R. Souto 739,W126816879,way,"LINESTRING(-45.9119081 -23.2640476, -45.9118118 -23.2641488, -45.9113494 -23.2646757, -45.9107028 -23.2654214, -45.909534 -23.2667693, -45.9089775 -23.267325, -45.9089048 -23.2674011, -45.9064558 -23.2699664, -45.9063354 -23.2700925)"
9,-23.217177,-45.886015,Av. Gov. Mario Covas Jr. passarela Abdo Malcun Cury,W339656172,way,"LINESTRING(-45.8835199 -23.2194403, -45.887016 -23.2162249)"
1,-23.235291,-45.884702,Av. Andrômeda interseção Av. Iguape,W128439374,way,"LINESTRING(-45.8850808 -23.2416628, -45.8849759 -23.2403277, -45.8849643 -23.2401612, -45.8849391 -23.2397049, -45.8849277 -23.2394977, -45.8848266 -23.2378856, -45.8847359 -23.2363858, -45.8847159 -23.2360139, -45.8846741 -23.2353571, -45.8846661 -23.2352307)"
72,-23.235291,-45.884702,Av. Andrômeda interseção Av. Iguape,W128439374,way,"LINESTRING(-45.8850808 -23.2416628, -45.8849759 -23.2403277, -45.8849643 -23.2401612, -45.8849391 -23.2397049, -45.8849277 -23.2394977, -45.8848266 -23.2378856, -45.8847359 -23.2363858, -45.8847159 -23.2360139, -45.8846741 -23.2353571, -45.8846661 -23.2352307)"
45,-23.254153,-45.892211,Av. Salinasetros,W312684468,way,"LINESTRING(-45.8914289 -23.2622486, -45.891598 -23.2619191, -45.8924321 -23.2603162, -45.8926623 -23.2597607, -45.892816 -23.25941, -45.8929307 -23.2590776, -45.8930089 -23.2588105, -45.8930562 -23.258571, -45.8931343 -23.2581158, -45.8931784 -23.2575214, -45.8931835 -23.2572067, -45.8931571 -23.2569341, -45.8931074 -23.2564732, -45.8930066 -23.2560458, -45.8929557 -23.2558493, -45.8929059 -23.2556802, -45.8928343 -23.2554777, -45.8927577 -23.2552722, -45.8926491 -23.2550142, -45.8925125 -23.2547365, -45.8923851 -23.2544978, -45.8922599 -23.2543002, -45.8919263 -23.2538221, -45.8913138 -23.2531173, -45.8910849 -23.2528572, -45.8910063 -23.2527778, -45.8908857 -23.2526501, -45.8908378 -23.2526015, -45.8905032 -23.2522448, -45.8903229 -23.2520335)"
20,-23.222309,-45.9022,Av. Dr. Sebastião Henrique C. Pontes interseção R. Serra do Pacaraima,W772027747,way,"LINESTRING(-45.9032409 -23.2232894, -45.9022071 -23.2223844, -45.9019817 -23.2221748)"
70,-23.199438,-45.864258,Av. dos Astronautas Interseção R. Raul F. Martins,W132144374,way,"LINESTRING(-45.8665464 -23.1956396, -45.8660209 -23.1961757, -45.8657554 -23.1965011, -45.8655114 -23.1968685, -45.8647588 -23.1984606, -45.8644223 -23.199181, -45.8641033 -23.1998811, -45.8639665 -23.2001572, -45.8637787 -23.2004185, -45.8636349 -23.2005619)"
7,-23.244561,-45.918144,Av. George Eastman,W125678118,way,"LINESTRING(-45.9177519 -23.2428879, -45.9178268 -23.2430564, -45.918022 -23.2438605, -45.9181262 -23.2442935, -45.9182241 -23.2447003, -45.918225 -23.2447041, -45.9202042 -23.253104, -45.9202632 -23.2532875, -45.9203291 -23.2534301)"
